COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30
RIL,N,0,R I L PROPERTY,2023-07-31,6.7,,,,,31,7,2023,72.00000000000001,0.4320336251424237,0.4243737674254051,0.007659857717018603,6.265,7.541961854930417,4.9880381450695825,68.0,0.4071428571428572,0.4071428571428572,6.8,6.8,6.7,6.9,7.0,7.0,6.8,7.0,6.6,6.6,5.9,5.7,5.8,5.6,5.6,5.6,5.4,5.5,5.3,5.0,5.0,4.9,4.9,5.1,5.0,4.9,5.1,5.1,5.2,5.3,6.857142857142857,6.514285714285714,5.803333333333333
RIL,N,0,R I L PROPERTY,2023-08-02,6.7,,,,,2,8,2023,64.0,0.39213253367972634,0.41792552067626937,-0.025792986996543033,6.325,7.521266120718508,5.1287338792814925,-42.0,0.41428571428571426,0.41428571428571426,6.7,6.8,6.8,6.7,6.9,7.0,7.0,6.8,7.0,6.6,6.6,5.9,5.7,5.8,5.6,5.6,5.6,5.4,5.5,5.3,5.0,5.0,4.9,4.9,5.1,5.0,4.9,5.1,5.1,5.2,6.8428571428571425,6.5928571428571425,5.849999999999999
RIL,N,0,R I L PROPERTY,2023-08-03,6.5,,,,,3,8,2023,69.23076923076923,0.37235666391630495,0.40881174932427655,-0.0364550854079716,6.385,7.526144393280599,5.243855606719401,11.0,0.4214285714285713,0.4214285714285713,6.5,6.7,6.8,6.8,6.7,6.9,7.0,7.0,6.8,7.0,6.6,6.6,5.9,5.7,5.8,5.6,5.6,5.6,5.4,5.5,5.3,5.0,5.0,4.9,4.9,5.1,5.0,4.9,5.1,5.1,6.771428571428571,6.6428571428571415,5.893333333333333
RIL,N,0,R I L PROPERTY,2023-08-04,6.5,,,,,4,8,2023,61.53846153846153,0.3366649521197065,0.39438238988336255,-0.057717437763656065,6.44,7.483072384832402,5.3969276151675984,24.0,0.4142857142857142,0.4142857142857142,6.7,6.5,6.7,6.8,6.8,6.7,6.9,7.0,7.0,6.8,7.0,6.6,6.6,5.9,5.7,5.8,5.6,5.6,5.6,5.4,5.5,5.3,5.0,5.0,4.9,4.9,5.1,5.0,4.9,5.1,6.728571428571429,6.7142857142857135,5.946666666666667
RIL,N,0,R I L PROPERTY,2023-08-07,6.5,,,,,7,8,2023,50.0,0.312841930602489,0.3780742980271879,-0.0652323674246989,6.49,7.45660011870144,5.523399881298561,-5.0,0.37142857142857133,0.37142857142857133,6.5,6.7,6.5,6.7,6.8,6.8,6.7,6.9,7.0,7.0,6.8,7.0,6.6,6.6,5.9,5.7,5.8,5.6,5.6,5.6,5.4,5.5,5.3,5.0,5.0,4.9,4.9,5.1,5.0,4.9,6.671428571428571,6.757142857142855,5.993333333333333
RIL,N,0,R I L PROPERTY,2023-08-08,6.7,,,,,8,8,2023,50.0,0.29061201994823094,0.3605818424113965,-0.06996982246316558,6.539999999999999,7.411538265005254,5.668461734994744,-43.0,0.3571428571428571,0.3571428571428571,6.6,6.5,6.7,6.5,6.7,6.8,6.8,6.7,6.9,7.0,7.0,6.8,7.0,6.6,6.6,5.9,5.7,5.8,5.6,5.6,5.6,5.4,5.5,5.3,5.0,5.0,4.9,4.9,5.1,5.0,6.657142857142857,6.757142857142855,6.049999999999999
RIL,N,0,R I L PROPERTY,2023-08-09,6.6,,,,,9,8,2023,41.1764705882353,0.27786081336784996,0.3440376366026872,-0.06617682323483726,6.595000000000001,7.347469618201119,5.842530381798882,36.0,0.32857142857142857,0.32857142857142857,6.6,6.6,6.5,6.7,6.5,6.7,6.8,6.8,6.7,6.9,7.0,7.0,6.8,7.0,6.6,6.6,5.9,5.7,5.8,5.6,5.6,5.6,5.4,5.5,5.3,5.0,5.0,4.9,4.9,5.1,6.628571428571428,6.757142857142857,6.1033333333333335
RIL,N,0,R I L PROPERTY,2023-08-10,6.6,,,,,10,8,2023,46.66666666666668,0.2647040468063784,0.3281709186434255,-0.06346687183704713,6.640000000000001,7.293412096935003,5.986587903064998,-27.0,0.31428571428571433,0.31428571428571433,6.7,6.6,6.6,6.5,6.7,6.5,6.7,6.8,6.8,6.7,6.9,7.0,7.0,6.8,7.0,6.6,6.6,5.9,5.7,5.8,5.6,5.6,5.6,5.4,5.5,5.3,5.0,5.0,4.9,4.9,6.614285714285715,6.735714285714286,6.156666666666667
RIL,N,0,R I L PROPERTY,2023-08-11,6.8,,,,,11,8,2023,38.46153846153846,0.2513794684826456,0.31281262861126957,-0.06143316012862399,6.69,7.1707888255115595,6.209211174488441,34.0,0.2857142857142857,0.2857142857142857,6.7,6.7,6.6,6.6,6.5,6.7,6.5,6.7,6.8,6.8,6.7,6.9,7.0,7.0,6.8,7.0,6.6,6.6,5.9,5.7,5.8,5.6,5.6,5.6,5.4,5.5,5.3,5.0,5.0,4.9,6.614285714285715,6.728571428571429,6.216666666666667
RIL,N,0,R I L PROPERTY,2023-08-14,6.8,,,,,14,8,2023,46.66666666666668,0.25402967670783916,0.3010560382305835,-0.047026361522744364,6.74,7.053889018268264,6.426110981731736,90.0,0.2714285714285714,0.2714285714285714,6.7,6.7,6.7,6.6,6.6,6.5,6.7,6.5,6.7,6.8,6.8,6.7,6.9,7.0,7.0,6.8,7.0,6.6,6.6,5.9,5.7,5.8,5.6,5.6,5.6,5.4,5.5,5.3,5.0,5.0,6.642857142857144,6.707142857142857,6.276666666666667
