COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE
KZOO,N,0,RENUKA CAPITAL,2019-03-15,3.8,15,3,2019,40.00000000000001,-0.08331262937011541,-0.0636828826870366,-0.019629746683078805,3.815,4.084697686503357,3.5453023134966433,10.0,0.16428571428571415,0.16428571428571415,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.9,3.7,3.8,4.0,4.0,3.9,3.8,3.9,3.9,4.1,3.9,3.9,4.0,4.1,4.1,4.2,4.1,4.2,4.0,4.0,4.0,3.9,4.0,3.6999999999999997,3.785714285714285,3.9099999999999997,,
KZOO,N,0,RENUKA CAPITAL,2019-03-18,3.8,18,3,2019,33.33333333333333,-0.08814154759568638,-0.06857461566876656,-0.019566931926919814,3.8,4.082842712474618,3.5171572875253814,-4.0,0.157142857142857,0.157142857142857,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.9,3.7,3.8,4.0,4.0,3.9,3.8,3.9,3.9,4.1,3.9,3.9,4.0,4.1,4.1,4.2,4.1,4.2,4.0,4.0,4.0,3.9,3.6857142857142855,3.7714285714285714,3.8966666666666665,,
KZOO,N,0,RENUKA CAPITAL,2019-03-19,3.6,19,3,2019,24.999999999999986,-0.09092042600494299,-0.07304377773600185,-0.017876648268941142,3.785,4.077178748461676,3.492821251538324,-3.0,0.157142857142857,0.157142857142857,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.9,3.7,3.8,4.0,4.0,3.9,3.8,3.9,3.9,4.1,3.9,3.9,4.0,4.1,4.1,4.2,4.1,4.2,4.0,4.0,4.0,3.6714285714285713,3.75,3.8866666666666663,,
KZOO,N,0,RENUKA CAPITAL,2019-03-21,3.6,21,3,2019,24.999999999999986,-0.09206147973293666,-0.07684731813538881,-0.015214161597547848,3.7600000000000002,4.022778674132715,3.497221325867286,1.0,0.14999999999999986,0.14999999999999986,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.9,3.7,3.8,4.0,4.0,3.9,3.8,3.9,3.9,4.1,3.9,3.9,4.0,4.1,4.1,4.2,4.1,4.2,4.0,4.0,3.657142857142857,3.7214285714285715,3.873333333333333,,
KZOO,N,0,RENUKA CAPITAL,2019-03-22,3.6,22,3,2019,33.33333333333333,-0.09190633402429427,-0.07985912131316991,-0.012047212711124355,3.745,4.008378854604221,3.481621145395779,-3.0,0.12857142857142842,0.12857142857142842,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.9,3.7,3.8,4.0,4.0,3.9,3.8,3.9,3.9,4.1,3.9,3.9,4.0,4.1,4.1,4.2,4.1,4.2,4.0,3.642857142857143,3.6928571428571435,3.8599999999999994,,
KZOO,N,0,RENUKA CAPITAL,2019-03-25,3.5,25,3,2019,33.333333333333314,-0.09871462346596438,-0.0836302217437288,-0.015084401722235574,3.725,3.9993413164194136,3.4506586835805866,3.0,0.11428571428571417,0.11428571428571417,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.9,3.7,3.8,4.0,4.0,3.9,3.8,3.9,3.9,4.1,3.9,3.9,4.0,4.1,4.1,4.2,4.1,4.2,3.6285714285714286,3.6785714285714297,3.8466666666666662,,
KZOO,N,0,RENUKA CAPITAL,2019-03-26,3.5,26,3,2019,0.0,-0.1188782163508515,-0.09067982066515334,-0.028198395685698152,3.7,4.030868076747405,3.3691319232525956,3.0,0.1142857142857142,0.1142857142857142,3.5,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.9,3.7,3.8,4.0,4.0,3.9,3.8,3.9,3.9,4.1,3.9,3.9,4.0,4.1,4.1,4.2,4.1,3.6,3.664285714285715,3.8233333333333333,,
KZOO,N,0,RENUKA CAPITAL,2019-03-27,3.2,27,3,2019,20.0,-0.12534395759854577,-0.09761264805183184,-0.027731309546713934,3.675,4.017590748638417,3.332409251361582,-4.0,0.1142857142857142,0.1142857142857142,3.3,3.5,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.9,3.7,3.8,4.0,4.0,3.9,3.8,3.9,3.9,4.1,3.9,3.9,4.0,4.1,4.1,4.2,3.5428571428571436,3.6214285714285728,3.796666666666667,,
KZOO,N,0,RENUKA CAPITAL,2019-03-28,3.2,28,3,2019,20.0,-0.12898128811912057,-0.1038863760652896,-0.02509491205383098,3.6450000000000005,3.972510546234373,3.317489453765628,8.0,0.13571428571428562,0.13571428571428562,3.4,3.3,3.5,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.9,3.7,3.8,4.0,4.0,3.9,3.8,3.9,3.9,4.1,3.9,3.9,4.0,4.1,4.1,3.5142857142857147,3.600000000000001,3.77,,
KZOO,N,0,RENUKA CAPITAL,2019-03-29,3.5,29,3,2019,20.0,-0.1303611762692105,-0.10918133610607378,-0.02117984016313673,3.6150000000000007,3.9142974229231213,3.31570257707688,-2.0,0.13571428571428565,0.13571428571428565,3.4,3.4,3.3,3.5,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.9,3.7,3.8,4.0,4.0,3.9,3.8,3.9,3.9,4.1,3.9,3.9,4.0,4.1,3.485714285714286,3.5785714285714296,3.746666666666667,,
